id,field,variety,sowDate,planPlantDate,trayType,trayCount,assignedTrayCount,plants,source,memo
"2026-37","事業所(小柳津)","冬五郎","2026-08-17","2026-09-16","200","62","43","8600","",""
"2026-37","信号（小野田）","冬五郎","2026-08-17","2026-09-16","200","62","19","3800","",""
"2026-36","池","N-831","2026-08-17","2026-09-16","200","100","35","7000","",""
"2026-38","事業所(西・３)","りくよう","2026-08-19","2026-09-18","128","130","28","3584","","24基/10a"
"2026-39","上原(うずら角)","冬勝利","2026-08-19","2026-09-18","128","130","35","4480","","24基/10a"
"2026-38","上原(すいか横、うずら北)","りくよう","2026-08-19","2026-09-18","128","130","91","11648","","24基/10a"
"2026-39","上原(変形2.5)","冬勝利","2026-08-19","2026-09-18","128","130","95","12160","","24基/10a"
"2026-41","若松(元・大)","そらと","2026-08-20","2026-09-19","128","80","63","8064","","24基/10a"
"2026-40","上原(マリエール西)","N-831","2026-08-20","2026-09-19","128","130","69","8832","","24基/10a"
"2026-40","上原(自分)","N-831","2026-08-20","2026-09-19","128","130","55","7040","","24基/10a"
"2026-42","体育館","YRたかみね","2026-08-20","2026-09-19","128","110","110","14080","","24基/10a"
"2026-43","事業所(西・３)","青龍345","2026-08-22","2026-09-22","128","65","65","8320","",""
