timestamp,event,human,role,sessionId,detail,path
2026-07-07T12:25:11.193Z,login,naoki,admin,0e32e52e-8937-4986-8b0f-603e445ba43b,sessionVersion=1,/admin/machine-qr.html
2026-07-07T12:45:08.018Z,login,naoki,admin,b851f096-0c64-4b42-b58e-0921d60ed8f3,sessionVersion=1,/admin/machine-qr.html
2026-07-07T12:45:21.239Z,login,naoki,admin,9c95c509-7e59-46e0-8f0f-19abd8d13c37,sessionVersion=1,/admin/machine-qr.html
2026-07-07T12:45:48.712Z,login,naoki,admin,b6279d71-2118-40c9-b3e0-4eac551cd6aa,sessionVersion=1,/admin/machine-qr.html
2026-07-07T12:46:15.413Z,expired,naoki,admin,22e3a6c9-3794-43f7-bce0-0b7e1277a26b,issuedAt=1783293550274,/machine-work-hub.html
2026-07-07T12:46:24.319Z,login,naoki,admin,df4c281f-cf98-4502-b302-708b010fd274,sessionVersion=1,/index.html
2026-07-07T13:02:33.393Z,login,naoki,admin,a42ecb31-a88e-4cce-9f57-959dee8fcca4,sessionVersion=1,/admin/machine-qr.html
2026-07-07T13:03:25.018Z,login,naoki,admin,389b88c6-e758-4044-85e5-eb650c4770fd,sessionVersion=1,/admin/machine-qr.html
2026-07-07T13:03:36.744Z,login,naoki,admin,00ec3480-988f-4053-97ba-4f6fb80a40a2,sessionVersion=1,/admin/machine-qr.html
2026-07-07T13:06:41.141Z,login,naoki,admin,a9494b4f-2ae0-4ee8-98bc-db15ece6b6d6,sessionVersion=1,/admin/machine-qr.html
2026-07-07T13:06:46.777Z,login,naoki,admin,972d3e5d-6c50-48c7-b3dc-0c7cb0c17341,sessionVersion=1,/admin/machine-qr.html
2026-07-07T13:08:41.613Z,login,naoki,admin,746027b1-d65a-4951-bc79-70888418c8d3,sessionVersion=1,/index.html
2026-07-07T13:12:51.047Z,login,naoki,admin,67d3aaf2-db5e-43ba-996b-15814160f716,sessionVersion=1,/index.html
2026-07-07T13:38:21.225Z,stepup-required,naoki,admin,972d3e5d-6c50-48c7-b3dc-0c7cb0c17341,path=/admin/edit-json/index.html,/admin/edit-json/index.html
2026-07-07T13:41:49.682Z,login,naoki,admin,d008078f-c92e-4495-91d2-a55917af9d61,sessionVersion=1,/index.html
2026-07-07T13:42:00.545Z,login,naoki,admin,3334304a-ac89-4add-8a99-2f237f6272f3,sessionVersion=1,/admin/machine-qr.html
2026-07-07T14:01:01.615Z,login,naoki,admin,b0257ed2-ecd8-44e4-9f2b-4e30b7f7c6da,sessionVersion=1,/index.html
2026-07-07T14:31:51.767Z,stepup-required,naoki,admin,b0257ed2-ecd8-44e4-9f2b-4e30b7f7c6da,path=/admin/machine-qr.html,/admin/machine-qr.html
